job_title,job_detail_url,job_listed,company_name,company_link,company_location
Junior Data Analyst,https://eg.linkedin.com/jobs/view/junior-data-analyst-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3940725872?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=Ts3ghQXHGSvSP851RCoF2w%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Software Engineer,https://eg.linkedin.com/jobs/view/junior-software-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3930305369?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=eai9je6k6I%2BQ94XkBWtO9w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Operation Analyst,https://eg.linkedin.com/jobs/view/operation-analyst-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3884724661?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=aM1yzUwQTP9G0Kz1X8LHoA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
"Associate, Catalogue  (Fresh Graduates)",https://eg.linkedin.com/jobs/view/associate-catalogue-fresh-graduates-at-noon-3939358110?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=sXCaiT8dMx312mbajrLucQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,5 days ago,noon,https://sa.linkedin.com/company/nooncom?trk=public_jobs_jserp-result_job-search-card-subtitle,"Giza, Al Jizah, Egypt"
Software Developer (Intern),https://eg.linkedin.com/jobs/view/software-developer-intern-at-cegedim-3941695241?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=RAvBq9d8GeMbcm%2BjHNqChQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago,Cegedim,https://fr.linkedin.com/company/cegedim?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Machine Learning Engineer,https://eg.linkedin.com/jobs/view/machine-learning-engineer-at-affectiva-3930553379?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=drzJ3BRjL4ZBEiYSfN3F7A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Affectiva,https://www.linkedin.com/company/affectiva_2?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Heliopolis, Cairo, Egypt"
Shift Engineer,https://eg.linkedin.com/jobs/view/shift-engineer-at-m%C3%B6venpick-hotels-resorts-3932331633?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=c1PTrIpqhPeIUpgUbVIHgg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Bahr al Ahmar, Egypt"
Investments Analyst,https://eg.linkedin.com/jobs/view/investments-analyst-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3878775712?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=9yW1lsjt9RdrKPZu7qGKZA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Software Engineer - Global/Remote,https://eg.linkedin.com/jobs/view/junior-software-engineer-global-remote-at-mixrank-3894200530?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=que%2BI6uNz7Nn7f%2BOMAxWBQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,MixRank,https://www.linkedin.com/company/mixrank?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Data Analyst - Reporting,https://eg.linkedin.com/jobs/view/data-analyst-reporting-at-mondia-group-3936820349?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=ZqQPXYip3WXe8VItiPMvpQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Mondia Group,https://ae.linkedin.com/company/mondia-media?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Analyst,https://eg.linkedin.com/jobs/view/data-analyst-at-nawy-3891657843?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=Pu%2FKm53wgRtmTL6Obw3eRw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,2 months ago,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Qesm El Maadi, Cairo, Egypt"
Junior Software Developer,https://eg.linkedin.com/jobs/view/junior-software-developer-at-espace-3783251544?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=93HHKYz2sul9wSB9JUTapw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,5 months ago,eSpace,https://eg.linkedin.com/company/espace?trk=public_jobs_jserp-result_job-search-card-subtitle,"Alexandria, Alexandria, Egypt"
Data Analyst,https://eg.linkedin.com/jobs/view/data-analyst-at-mrsool-%D9%85%D8%B1%D8%B3%D9%88%D9%84-3911486387?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=yWcFYvkufYvf65KJprjxfA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,2 months ago,MRSOOL | مرسول,https://sa.linkedin.com/company/mrsool-co?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Backend Engineer,https://eg.linkedin.com/jobs/view/backend-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3814059987?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=iVEyk1ry80%2BlUY9svO0mQQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,5 months ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Scientist,https://eg.linkedin.com/jobs/view/data-scientist-at-nawy-3888114087?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=YFN7w9sid8TkI3mNJpZVAQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago,Nawy,https://eg.linkedin.com/company/nawyestate?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior/Fresh SW Support and Integration Engineer,https://eg.linkedin.com/jobs/view/junior-fresh-sw-support-and-integration-engineer-at-bosta-3834812789?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=7msAa0wVapuMZsUqAQ6GlA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,3 months ago,Bosta,https://eg.linkedin.com/company/bostaapp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Web Developer,https://eg.linkedin.com/jobs/view/junior-web-developer-at-palm-outsourcing-3937399459?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=OJP8%2Frv0VGAvNR0fwJ4zjg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Palm Outsourcing,https://uk.linkedin.com/company/palm-outsourcing?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Backend Engineer (Python) - Graduates Program,https://eg.linkedin.com/jobs/view/backend-engineer-python-graduates-program-at-b-labs-3941656173?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=LvEoiNH93Cd5bxUea9qVaA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago,b_labs,https://eg.linkedin.com/company/wearablabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Backend Python Developer – Data Science Background,https://eg.linkedin.com/jobs/view/backend-python-developer-%E2%80%93-data-science-background-at-misr-technology-services-3937932250?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=FpwMwFaAiXyLnv9A8nZHjA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Misr Technology Services,https://eg.linkedin.com/company/misr-technology-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Site Engineer,https://eg.linkedin.com/jobs/view/site-engineer-at-m%C3%B6venpick-hotels-resorts-3932336176?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=%2B2HAd%2BN6Wbsl%2FKlKAV4gtw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,Mövenpick Hotels & Resorts,https://fr.linkedin.com/company/moevenpick-hotels-&-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Bahr al Ahmar, Egypt"
Data Analyst Internship,https://eg.linkedin.com/jobs/view/data-analyst-internship-at-skill-farm-3942605507?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=8YEZpvEHu0veedMK50T%2FYg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago,Skill Farm,https://uk.linkedin.com/company/skillsfarm?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Full Stack Engineer (Python) - Graduates Program,https://eg.linkedin.com/jobs/view/full-stack-engineer-python-graduates-program-at-b-labs-3941658141?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=b6SfsA7j9mzVcTQzGJZ6dw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago,b_labs,https://eg.linkedin.com/company/wearablabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Analyst,https://eg.linkedin.com/jobs/view/data-analyst-at-maxab-3942671289?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=d%2FNJ%2F3s7KihZM29rWYO43w%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,18 hours ago,MaxAB,https://eg.linkedin.com/company/maxab?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Junior Software Developer,https://eg.linkedin.com/jobs/view/junior-software-developer-at-dubizzle-egypt-3936873661?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=%2FkopFZC98Vr%2FMb8bhioW4A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,dubizzle Egypt,https://eg.linkedin.com/company/dubizzleegypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
Graduate Data Reporting Analyst,https://eg.linkedin.com/jobs/view/graduate-data-reporting-analyst-at-skill-farm-3936672579?refId=PyDqzTn7umVmrBHzFdZQFA%3D%3D&trackingId=OvAiOyAmdUrZF4nKByjMBQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,Skill Farm,https://uk.linkedin.com/company/skillsfarm?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Junior Software Developer,https://eg.linkedin.com/jobs/view/junior-software-developer-at-arpuplus-arpu-telecommunications-services-3888117286?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=NgGTX270mEgzWgAaNeynqA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago,ArpuPlus - ARPU Telecommunications Services,https://eg.linkedin.com/company/arpuplusofficial?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Scientist,https://eg.linkedin.com/jobs/view/data-scientist-at-%D8%A7%D9%86-%D9%82%D9%88-3934969012?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=91hcQoObfZ0%2B2j6%2Bqb%2BAKw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago,n.go,https://sa.linkedin.com/company/n-go-%D8%A7%D9%86-%D9%82%D9%88?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
BI Developer - Graduates Program,https://eg.linkedin.com/jobs/view/bi-developer-graduates-program-at-b-labs-3941647343?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=TP9ePHIz%2FNR47W2C1CkX7A%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago,b_labs,https://eg.linkedin.com/company/wearablabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Analyst,https://eg.linkedin.com/jobs/view/data-analyst-at-talent-disruptors-3860722751?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=QMlH4D4ju%2BM9YMjVBnOLrQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,2 months ago,Talent Disruptors,https://www.linkedin.com/company/talentdisruptors?trk=public_jobs_jserp-result_job-search-card-subtitle,Egypt
Senior Data Analyst,https://eg.linkedin.com/jobs/view/senior-data-analyst-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-3940728936?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=2CoL8CzHr97EEP4xDdCIAw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,Halan - حالا,https://eg.linkedin.com/company/halan?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
"Research & Development Internship - 10th of Ramadan, Chocolate Plant",https://eg.linkedin.com/jobs/view/research-development-internship-10th-of-ramadan-chocolate-plant-at-mondel%C4%93z-international-3940166964?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=OY07JkkZOhFEipuro62eog%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,Mondelēz International,https://www.linkedin.com/company/mondelezinternational?trk=public_jobs_jserp-result_job-search-card-subtitle,"10th of Ramadan, Sharkia, Egypt"
Data Analytics - Data Analyst - Cairo,https://eg.linkedin.com/jobs/view/data-analytics-data-analyst-cairo-at-infomineo-3934520847?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=ZnuwWnegIMYZOE5TF9U9oA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago,Infomineo,https://ae.linkedin.com/company/infomineo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Research Assistant,https://eg.linkedin.com/jobs/view/research-assistant-at-worldfish-3934158253?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=gRSRPo0Bf1zNCa%2BpEsM2mg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,WorldFish,https://my.linkedin.com/company/worldfish?trk=public_jobs_jserp-result_job-search-card-subtitle,"Abu Ḩummuş, Al Buhayrah, Egypt"
Backend Developer - python,https://eg.linkedin.com/jobs/view/backend-developer-python-at-ssc-egypt-3912193043?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=LNogi65HY9gS9L%2F14wdphg%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago,SSC Egypt,https://eg.linkedin.com/company/ssc-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Backend Software Engineer (Python),https://eg.linkedin.com/jobs/view/backend-software-engineer-python-at-b-labs-3887688696?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=3mrm2waU1apJ1kQMFPAk%2Fw%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago,b_labs,https://eg.linkedin.com/company/wearablabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Software Engineer - Backend (Remote),https://eg.linkedin.com/jobs/view/software-engineer-backend-remote-at-lucidya-3933442797?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=ZO0mn1MByBNsGvsy1rejAQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago,Lucidya | لوسيديا,https://sa.linkedin.com/company/lucidya?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
Data Analyst - Graduates Program,https://eg.linkedin.com/jobs/view/data-analyst-graduates-program-at-b-labs-3941647328?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=%2BmL7Dj363vjSOr7uM%2BzKug%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago,b_labs,https://eg.linkedin.com/company/wearablabs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cairo, Cairo, Egypt"
DARE PepsiCo Summer Internship 2024- R&D,https://eg.linkedin.com/jobs/view/dare-pepsico-summer-internship-2024-r-d-at-pepsico-3938749893?refId=y0Hi37%2FS2S6hpdjvWM%2F3jw%3D%3D&trackingId=rItfJ97EmpT4PCEW07NHeA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago,PepsiCo,https://www.linkedin.com/company/pepsico?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Cairo, Cairo, Egypt"
